State,Year,Quarter,District,RegisteredUsers
andaman-&-nicobar-islands,2018,1,north and middle andaman district,442
andaman-&-nicobar-islands,2018,1,south andaman district,5688
andaman-&-nicobar-islands,2018,1,nicobars district,528
andaman-&-nicobar-islands,2018,2,north and middle andaman district,825
andaman-&-nicobar-islands,2018,2,south andaman district,9395
andaman-&-nicobar-islands,2018,2,nicobars district,1120
andaman-&-nicobar-islands,2018,3,north and middle andaman district,1283
andaman-&-nicobar-islands,2018,3,south andaman district,13511
andaman-&-nicobar-islands,2018,3,nicobars district,1471
andaman-&-nicobar-islands,2018,4,north and middle andaman district,2137
andaman-&-nicobar-islands,2018,4,south andaman district,20136
andaman-&-nicobar-islands,2018,4,nicobars district,1485
andaman-&-nicobar-islands,2019,1,north and middle andaman district,3264
andaman-&-nicobar-islands,2019,1,south andaman district,25683
andaman-&-nicobar-islands,2019,1,nicobars district,1539
andaman-&-nicobar-islands,2019,2,north and middle andaman district,3371
andaman-&-nicobar-islands,2019,2,south andaman district,28490
andaman-&-nicobar-islands,2019,2,nicobars district,1828
andaman-&-nicobar-islands,2019,3,north and middle andaman district,4049
andaman-&-nicobar-islands,2019,3,south andaman district,27421
andaman-&-nicobar-islands,2019,3,nicobars district,2300
andaman-&-nicobar-islands,2019,4,north and middle andaman district,4716
andaman-&-nicobar-islands,2019,4,south andaman district,27843
andaman-&-nicobar-islands,2019,4,nicobars district,2600
andaman-&-nicobar-islands,2020,1,north and middle andaman district,5674
andaman-&-nicobar-islands,2020,1,south andaman district,32713
andaman-&-nicobar-islands,2020,1,nicobars district,2911
andaman-&-nicobar-islands,2020,2,north and middle andaman district,10979
andaman-&-nicobar-islands,2020,2,south andaman district,48088
andaman-&-nicobar-islands,2020,2,nicobars district,3895
andaman-&-nicobar-islands,2020,3,north and middle andaman district,16747
andaman-&-nicobar-islands,2020,3,south andaman district,95323
andaman-&-nicobar-islands,2020,3,nicobars district,5413
andaman-&-nicobar-islands,2020,4,north and middle andaman district,29349
andaman-&-nicobar-islands,2020,4,south andaman district,186494
andaman-&-nicobar-islands,2020,4,nicobars district,8688
